dates,shore,Hs,Tp,Dir,Eng,,,real_dates
27/06/2011,387.527904,2.0833166,7.6651115,237.62672,16.30140755,,,
28/06/2011,387.4517789,2.0571592,8.288684,238.32782,17.18768823,,,
29/06/2011,387.3754915,2.3283732,14.533574,239.70662,38.60767867,,,
30/06/2011,387.2991131,2.0664194,9.0271,237.18132,18.88779561,,,
1/07/2011,387.2227157,2.016778,17.271679,236.92014,34.42285031,,,
2/07/2011,387.1463718,1.8693811,14.156585,236.67819,24.24098574,,,
3/07/2011,387.0701544,1.4951612,10.042935,236.22592,11.0010153,,,
4/07/2011,386.994137,1.1148316,11.309173,234.01129,6.887243984,,,
5/07/2011,386.9183934,1.402179,7.6674023,236.66719,7.386713381,,,
6/07/2011,386.8429978,2.3703775,7.928402,250.29857,21.82814221,,,
7/07/2011,386.7680249,2.4290879,11.304113,250.94879,32.68278309,,,
8/07/2011,386.6935495,2.554337,6.6278925,247.53064,21.18985205,,,
9/07/2011,386.6196466,2.6139069,8.400187,240.06473,28.12323427,,,
10/07/2011,386.5463916,2.6899917,15.66072,240.86548,55.52769997,,,
11/07/2011,386.4738598,2.7087982,15.502727,238.90244,55.7387832,,,
12/07/2011,386.4021268,2.6472237,9.97926,240.11903,34.26696986,,,
13/07/2011,386.3312679,2.6010191,9.999403,239.36983,33.1479927,,,
14/07/2011,386.2613587,2.4845529,7.2567153,239.52791,21.94990581,,,
15/07/2011,386.1924745,2.4416893,6.9020658,238.71204,20.16303831,,,
16/07/2011,386.1246905,2.3614993,9.879405,235.50696,26.99619222,,,
17/07/2011,386.0580815,2.0818844,9.073973,234.85536,19.27111241,,,
18/07/2011,385.9927222,1.9072803,6.4113793,232.87993,11.42816749,,,
19/07/2011,385.9286868,1.782604,6.420544,233.36246,9.997183414,,,
20/07/2011,385.8660489,1.1916803,11.720338,235.72623,8.155596603,,,
21/07/2011,385.8048817,0.9513968,14.498634,236.47404,6.430526607,,,
22/07/2011,385.7452576,1.3470006,15.12803,234.87735,13.44974454,,,
23/07/2011,385.6872482,1.3124425,13.7248,232.93906,11.58411007,,,
24/07/2011,385.6309243,2.2474194,11.65084,235.79907,28.83510712,,,
25/07/2011,385.5763556,2.3563442,7.718094,233.75287,20.99827423,,,
26/07/2011,385.5236108,1.8941063,9.054594,233.09782,15.9174597,,,
27/07/2011,385.4727571,1.6212695,10.807127,235.19215,13.91927966,,,
28/07/2011,385.4238604,1.7831769,12.499708,230.8729,19.47532917,,,
29/07/2011,385.3769853,1.841601,7.645828,231.11964,12.70608301,,,
30/07/2011,385.3321944,1.9171132,10.3909025,231.25574,18.71306236,,,
31/07/2011,385.2895486,1.6597415,11.5231085,233.9192,15.5541627,,,
1/08/2011,385.2491067,1.1609408,10.952423,235.4939,7.233132773,,,
