dates,shore,Hs,Tp,Dir,Eng,,,real_dates
11/12/2019,381.1093438,1.348623633,9.728857994,63.0712471,8.670406842,,,
12/12/2019,381.2050402,1.320652604,9.631484032,61.59002686,8.231262903,,,
13/12/2019,381.2993601,1.218601227,9.948521614,62.16670227,7.238987886,,,
14/12/2019,381.3980863,1.239412546,10.65037441,64.84527588,8.016646468,,,
15/12/2019,381.501335,1.08590591,10.04427147,64.01634216,5.803619285,,,
16/12/2019,381.6092235,1.254877567,9.072635651,60.55351257,7.000551612,,,
17/12/2019,381.7218702,2.070524216,7.467022896,31.96555519,15.68571036,,,
18/12/2019,381.839395,1.342418313,9.163804054,48.77864456,8.09184603,,,
19/12/2019,381.9619188,1.050966024,8.986719131,54.84788513,4.863787602,,,
20/12/2019,382.0895638,1.255068541,8.494314194,76.30397034,6.556307108,,,
21/12/2019,382.2224533,1.041610479,10.28063965,52.88620758,5.465462237,,,
22/12/2019,382.3473634,1.424135804,10.43672466,62.52549744,10.37201453,,,
23/12/2019,382.4640191,1.760933638,10.55548286,60.77552795,16.03836763,,,
24/12/2019,382.572144,1.565040946,10.72359562,61.92407227,12.87027769,,,
25/12/2019,382.6714609,1.554635406,10.90182781,60.80370331,12.91078077,,,
26/12/2019,382.7616911,1.356165171,10.49381351,61.76735687,9.457026265,,,
27/12/2019,382.8425549,1.205331683,10.29782486,61.2587204,7.330856634,,,
28/12/2019,382.912752,0.964666247,9.832722664,61.3611412,4.483570845,,,
29/12/2019,382.9720314,0.903951049,10.91185188,36.07380295,4.369023375,,,
30/12/2019,383.046282,0.993019223,11.21867371,14.87478161,5.420669243,,,
31/12/2019,383.1360349,0.965334535,10.87700653,24.19377327,4.966622548,,,
1/01/2020,383.2418248,0.860801101,10.88913059,30.47814751,3.953619897,,,
2/01/2020,383.3641896,0.654216528,11.64816666,33.48664856,2.442849319,,,
3/01/2020,383.5036706,0.723046303,19.05476189,14.42182446,4.881258704,,,
4/01/2020,383.6608124,0.760850132,16.37288475,8.008229256,4.644292081,,,
5/01/2020,383.8361631,1.011634827,17.14671516,11.20024872,8.598536865,,,
6/01/2020,384.0302738,0.901564479,16.82414436,11.26210976,6.700738214,,,
7/01/2020,384.2130628,0.706435442,15.24020004,8.67220211,3.726762417,,,
8/01/2020,384.3841679,0.631877899,13.8547287,8.774616241,2.710568812,,,
9/01/2020,384.543225,0.613548756,12.27192974,19.50265884,2.263638644,,,
