dates,observation,Yates,,,special_dates
14/08/2000,332.3515246,332.98282,,,1/01/2023
15/08/2000,332.382895,332.8358,,,25/01/2023
16/08/2000,332.4083412,333.15475,,,18/02/2023
17/08/2000,332.4278633,332.39713,,,19/02/2023
18/08/2000,332.4414612,331.55707,,,6/03/2023
19/08/2000,332.4515475,331.28387,,,13/03/2023
20/08/2000,332.4581222,331.94122,,,14/03/2023
21/08/2000,332.4611854,332.09384,,,22/03/2023
22/08/2000,332.460737,331.229,,,30/03/2023
23/08/2000,332.456777,331.56436,,,4/04/2023
24/08/2000,332.4493054,331.6643,,,15/04/2023
25/08/2000,332.4383223,331.579,,,23/04/2023
26/08/2000,332.4238276,331.5942,,,26/04/2023
27/08/2000,332.4058213,331.27548,,,13/05/2023
28/08/2000,332.3843035,331.5372,,,2/06/2023
29/08/2000,332.359274,331.45728,,,10/06/2023
30/08/2000,332.3307331,330.9891,,,4/07/2023
31/08/2000,332.2986805,330.01584,,,28/07/2023
1/09/2000,332.2631164,330.71817,,,13/08/2023
2/09/2000,332.2240407,331.1093,,,14/08/2023
3/09/2000,332.1814534,331.6726,,,19/08/2023
4/09/2000,332.1353545,331.28372,,,21/08/2023
5/09/2000,332.0857441,331.30026,,,29/08/2023
6/09/2000,332.0326221,331.55252,,,6/09/2023
7/09/2000,331.9759885,331.55966,,,7/10/2023
8/09/2000,331.9158434,332.08316,,,8/10/2023
9/09/2000,331.8521867,332.04755,,,24/10/2023
10/09/2000,331.7850184,331.69934,,,5/12/2023
11/09/2000,331.7143385,331.25577,,,10/12/2023
12/09/2000,331.6401471,329.89255,,,1/01/2024
13/09/2000,331.5624441,330.69983,,,6/01/2024
14/09/2000,331.4812295,330.9031,,,11/01/2024
15/09/2000,331.3965034,330.3932,,,20/01/2024
16/09/2000,331.3082657,330.16412,,,13/02/2024
17/09/2000,331.2165164,329.6055,,,21/02/2024
18/09/2000,331.1212555,328.74356,,,29/02/2024
19/09/2000,331.0224831,329.84097,,,8/03/2024
20/09/2000,330.9201991,330.84753,,,17/04/2024
21/09/2000,330.8144035,330.36,,,3/05/2024
22/09/2000,330.7050964,329.5694,,,11/05/2024
23/09/2000,330.5922776,329.3456,,,4/06/2024
24/09/2000,330.4759473,329.38715,,,20/06/2024
25/09/2000,330.3561055,329.5239,,,28/06/2024
26/09/2000,330.232752,329.42825,,,6/07/2024
27/09/2000,330.1079037,329.82285,,,23/08/2024
28/09/2000,329.9815605,329.73178,,,31/08/2024
29/09/2000,329.8537225,330.089,,,24/09/2024
30/09/2000,329.7243895,330.13718,,,10/10/2024
1/10/2000,329.5935617,329.8823,,,18/10/2024
2/10/2000,329.461239,329.65686,,,3/11/2024
3/10/2000,329.3274215,329.2709,,,11/11/2024
4/10/2000,329.192109,329.52316,,,13/12/2024
5/10/2000,329.0553017,329.2451,,,21/12/2024
6/10/2000,328.9195619,329.63574,,,6/01/2025
7/10/2000,328.7848896,328.93002,,,22/01/2025
8/10/2000,328.6512847,328.53793,,,30/01/2025
9/10/2000,328.5187474,328.1421,,,7/02/2025
10/10/2000,328.3872776,328.7681,,,
11/10/2000,328.2568752,329.68234,,,
12/10/2000,328.1275404,330.59528,,,
13/10/2000,328.0008512,330.9883,,,
14/10/2000,327.8768078,330.78873,,,
15/10/2000,327.7554099,330.43243,,,
16/10/2000,327.6366578,330.87167,,,
17/10/2000,327.5205514,330.9842,,,
18/10/2000,327.4070906,331.0122,,,
19/10/2000,327.2962755,330.22943,,,
20/10/2000,327.188106,330.37027,,,
21/10/2000,327.0825823,330.22,,,
22/10/2000,326.9797042,329.9142,,,
23/10/2000,326.8794718,329.42038,,,
24/10/2000,326.7818851,330.0248,,,
25/10/2000,326.6869441,329.9974,,,
26/10/2000,326.5946487,330.05817,,,
27/10/2000,326.504999,330.61185,,,
28/10/2000,326.417995,329.5749,,,
29/10/2000,326.3336367,329.3306,,,
30/10/2000,326.251924,330.59097,,,
31/10/2000,326.172857,330.46048,,,
1/11/2000,326.0964357,330.00833,,,
2/11/2000,326.0226601,329.82806,,,
3/11/2000,325.9515301,328.72897,,,
4/11/2000,325.8830459,328.48773,,,
5/11/2000,325.8172073,329.2081,,,
6/11/2000,325.7540143,329.91678,,,
7/11/2000,325.6937945,330.16956,,,
8/11/2000,325.6365479,330.8923,,,
9/11/2000,325.5822743,331.16068,,,
10/11/2000,325.5309739,330.04214,,,
11/11/2000,325.4826466,329.94067,,,
12/11/2000,325.4372924,331.84286,,,
13/11/2000,325.3949114,332.59,,,
14/11/2000,325.3555034,332.36636,,,
15/11/2000,325.3190686,332.14438,,,
16/11/2000,325.2856069,331.33447,,,
17/11/2000,325.2551184,331.61655,,,
18/11/2000,325.227603,331.99112,,,
19/11/2000,325.2030607,333.38345,,,
20/11/2000,325.1814915,332.6777,,,
21/11/2000,325.1628954,332.19394,,,
22/11/2000,325.1472725,330.98605,,,
